"model","AIC","AICc","BIC","delta_AIC","delta_AICc","delta_BIC"
"ARMA(1,0)",-453.047382813867,-453.03062303733,-443.891660098425,96.2852986893708,96.2460360569436,87.1295759739288
"ARMA(0,1)",-450.609158217474,-450.592398440938,-441.453435502032,98.7235232857633,98.6842606533361,89.5678005703213
"ARMA(1,1)",-517.825716321835,-517.792149888269,-504.092132248672,31.5069651814024,31.4845092060052,26.9291038236813
"ARMA(2,1)",-545.202710544611,-545.146688135647,-526.891265113726,4.12997095862693,4.12997095862693,4.12997095862693
"ARMA(1,2)",-549.332681503238,-549.276659094274,-531.021236072353,0,0,0
"ARMA(2,2)",-548.851367974443,-548.767216501792,-525.962061185838,0.481313528794544,0.509442592481719,5.05917488651562
